B-y -9.844485675856319
E-h -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-jn -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-k -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-qe -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-vn -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-r -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-e -5.942513006281674
B-vi -12.434752841302146
S-df -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-nt -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-z -7.045681111485645
E-zg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-ng -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-an -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-en -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-bg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-l -4.905883584659895
S-ng -4.913434861102905
E-nz -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-p -2.986840181359632
E-q -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-nrt -4.985642733519195
S-g -6.507826815331734
E-x -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-nrt -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-c -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-qe -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-vd -9.044728760238115
M-vg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-j -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-u -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-m -3.652429981904639
S-ud -7.728230161053767
M-l -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
S-z -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
E-ul -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
B-zg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
M-rg -31399999999999998440121755087188611496023317657858142522962119136060321217693842207715753438069391360.000000000000000
